year_quarter,suburb,complaint,animal,animal_count,country,lon,lat,colour,complaint_colour
2013-10-01,Aitkenvale,Aggressive Animal,Dog,5,Australia,146.7721024,-19.3016138,#7a93d6,#f51d62
2013-10-01,Aitkenvale,Attack,Dog,6,Australia,146.7721024,-19.3016138,#7a93d6,#f00a21
2013-10-01,Aitkenvale,Enclosure,Dog,8,Australia,146.7721024,-19.3016138,#7a93d6,#479e4a
2013-10-01,Aitkenvale,Noise,Dog,4,Australia,146.7721024,-19.3016138,#7a93d6,#f5f52f
2013-10-01,Aitkenvale,Private Impound,Cat,2,Australia,146.7721024,-19.3016138,#77ed5c,#772ff5
2013-10-01,Aitkenvale,Private Impound,Dog,45,Australia,146.7721024,-19.3016138,#7a93d6,#772ff5
2013-10-01,Aitkenvale,Wandering,Dog,5,Australia,146.7721024,-19.3016138,#7a93d6,#9dcf78
2013-10-01,Alice River,Aggressive Animal,Dog,1,Australia,146.6060919,-19.3320775,#7a93d6,#f51d62
2013-10-01,Alice River,Attack,Dog,1,Australia,146.6060919,-19.3320775,#7a93d6,#f00a21
2013-10-01,Alice River,Enclosure,Dog,1,Australia,146.6060919,-19.3320775,#7a93d6,#479e4a
2013-10-01,Alice River,Noise,Dog,1,Australia,146.6060919,-19.3320775,#7a93d6,#f5f52f
2013-10-01,Alice River,Private Impound,Cat,1,Australia,146.6060919,-19.3320775,#77ed5c,#772ff5
2013-10-01,Alice River,Private Impound,Dog,1,Australia,146.6060919,-19.3320775,#7a93d6,#772ff5
2013-10-01,Alice River,Wandering,Dog,1,Australia,146.6060919,-19.3320775,#7a93d6,#9dcf78
2013-10-01,Alligator Creek,Aggressive Animal,Dog,1,Australia,146.945556,-19.423889,#7a93d6,#f51d62
2013-10-01,Alligator Creek,Attack,Dog,1,Australia,146.945556,-19.423889,#7a93d6,#f00a21
2013-10-01,Alligator Creek,Enclosure,Dog,3,Australia,146.945556,-19.423889,#7a93d6,#479e4a
2013-10-01,Alligator Creek,Private Impound,Dog,2,Australia,146.945556,-19.423889,#7a93d6,#772ff5
2013-10-01,Annandale,Aggressive Animal,Dog,1,Australia,151.1707,-33.8814,#7a93d6,#f51d62
2013-10-01,Annandale,Enclosure,Dog,1,Australia,151.1707,-33.8814,#7a93d6,#479e4a
2013-10-01,Annandale,Noise,Dog,2,Australia,151.1707,-33.8814,#7a93d6,#f5f52f
2013-10-01,Annandale,Private Impound,Cat,5,Australia,151.1707,-33.8814,#77ed5c,#772ff5
2013-10-01,Annandale,Private Impound,Dog,8,Australia,151.1707,-33.8814,#7a93d6,#772ff5
2013-10-01,Annandale,Wandering,Cat,2,Australia,151.1707,-33.8814,#77ed5c,#9dcf78
2013-10-01,Annandale,Wandering,Dog,2,Australia,151.1707,-33.8814,#7a93d6,#9dcf78
2013-10-01,Arcadia,Noise,Dog,1,Australia,151.04455,-33.62429,#7a93d6,#f5f52f
2013-10-01,Balgal Beach,Aggressive Animal,Dog,1,Australia,146.413611,-19.023056,#7a93d6,#f51d62
2013-10-01,Balgal Beach,Enclosure,Dog,2,Australia,146.413611,-19.023056,#7a93d6,#479e4a
2013-10-01,Balgal Beach,Noise,Dog,1,Australia,146.413611,-19.023056,#7a93d6,#f5f52f
2013-10-01,Beach Holm,Private Impound,Dog,1,Australia,146.6582465,-19.183191,#7a93d6,#772ff5
2013-10-01,Belgian Gardens,Private Impound,Cat,1,Australia,146.7931731,-19.2472068,#77ed5c,#772ff5
2013-10-01,Belgian Gardens,Private Impound,Dog,5,Australia,146.7931731,-19.2472068,#7a93d6,#772ff5
2013-10-01,Black River,Attack,Dog,2,Australia,146.619,-19.222,#7a93d6,#f00a21
2013-10-01,Black River,Enclosure,Dog,9,Australia,146.619,-19.222,#7a93d6,#479e4a
2013-10-01,Black River,Private Impound,Dog,4,Australia,146.619,-19.222,#7a93d6,#772ff5
2013-10-01,Black River,Wandering,Dog,1,Australia,146.619,-19.222,#7a93d6,#9dcf78
2013-10-01,Bluewater,Aggressive Animal,Dog,1,Australia,146.5737122,-19.1696862,#7a93d6,#f51d62
2013-10-01,Bluewater,Attack,Dog,1,Australia,146.5737122,-19.1696862,#7a93d6,#f00a21
2013-10-01,Bluewater,Enclosure,Dog,1,Australia,146.5737122,-19.1696862,#7a93d6,#479e4a
2013-10-01,Bluewater Park,Aggressive Animal,Dog,2,Australia,146.510833,-19.210833,#7a93d6,#f51d62
2013-10-01,Bluewater Park,Attack,Dog,1,Australia,146.510833,-19.210833,#7a93d6,#f00a21
2013-10-01,Bluewater Park,Enclosure,Dog,3,Australia,146.510833,-19.210833,#7a93d6,#479e4a
2013-10-01,Bluewater Park,Noise,Dog,1,Australia,146.510833,-19.210833,#7a93d6,#f5f52f
2013-10-01,Bohle,Attack,Dog,1,Australia,146.7243591,-19.2423013,#7a93d6,#f00a21
2013-10-01,Bohle,Private Impound,Dog,2,Australia,146.7243591,-19.2423013,#7a93d6,#772ff5
2013-10-01,Bohle Plains,Attack,Dog,2,Australia,146.6896533,-19.3141354,#7a93d6,#f00a21
2013-10-01,Bohle Plains,Enclosure,Dog,1,Australia,146.6896533,-19.3141354,#7a93d6,#479e4a
2013-10-01,Bohle Plains,Noise,Dog,5,Australia,146.6896533,-19.3141354,#7a93d6,#f5f52f
2013-10-01,Bohle Plains,Private Impound,Dog,2,Australia,146.6896533,-19.3141354,#7a93d6,#772ff5
2013-10-01,Bohle Plains,Wandering,Dog,1,Australia,146.6896533,-19.3141354,#7a93d6,#9dcf78
2013-10-01,Burdell,Aggressive Animal,Dog,2,Australia,146.7018998,-19.2481421,#7a93d6,#f51d62
