animal_type,complaint_type,suburb,year_quarter,animal,complaint
Dog,Aggressive Animal,Alice River,2020.2,Dog,Aggressive Animal
Dog,Noise,Alice River,2020.2,Dog,Noise
Dog,Noise,Alice River,2020.2,Dog,Noise
Dog,Private Impound,Alice River,2020.2,Dog,Private Impound
Dog,Wandering,Alice River,2020.2,Dog,Wandering
Dog,Attack,Black River,2020.2,Dog,Attack
Dog,Enclosure,Black River,2020.2,Dog,Enclosure
Dog,Wandering,Black River,2020.2,Dog,Wandering
Dog,Enclosure,Bluewater,2020.2,Dog,Enclosure
Dog,Enclosure,Bluewater,2020.2,Dog,Enclosure
Dog,Noise,Bluewater Park,2020.2,Dog,Noise
Dog,Noise,Bohle Plains,2020.2,Dog,Noise
Dog,Noise,Bohle Plains,2020.2,Dog,Noise
Dog,Noise,Bohle Plains,2020.2,Dog,Noise
Dog,Noise,Bohle Plains,2020.2,Dog,Noise
Cat,Private Impound,Bohle Plains,2020.2,Cat,Private Impound
Dog,Private Impound,Bohle Plains,2020.2,Dog,Private Impound
Dog,Aggressive Animal,Deeragun,2020.2,Dog,Aggressive Animal
Dog,Aggressive Animal,Deeragun,2020.2,Dog,Aggressive Animal
Dog,Aggressive Animal,Deeragun,2020.2,Dog,Aggressive Animal
Dog,Attack,Deeragun,2020.2,Dog,Attack
Dog,Attack,Deeragun,2020.2,Dog,Attack
Dog,Enclosure,Deeragun,2020.2,Dog,Enclosure
Dog,Enclosure,Deeragun,2020.2,Dog,Enclosure
Dog,Noise,Deeragun,2020.2,Dog,Noise
Dog,Noise,Deeragun,2020.2,Dog,Noise
Dog,Noise,Deeragun,2020.2,Dog,Noise
Dog,Noise,Deeragun,2020.2,Dog,Noise
Dog,Noise,Deeragun,2020.2,Dog,Noise
Dog,Noise,Deeragun,2020.2,Dog,Noise
Cat,Private Impound,Deeragun,2020.2,Cat,Private Impound
Cat,Private Impound,Deeragun,2020.2,Cat,Private Impound
Cat,Private Impound,Deeragun,2020.2,Cat,Private Impound
Dog,Private Impound,Deeragun,2020.2,Dog,Private Impound
Dog,Private Impound,Deeragun,2020.2,Dog,Private Impound
Dog,Private Impound,Deeragun,2020.2,Dog,Private Impound
Dog,Private Impound,Deeragun,2020.2,Dog,Private Impound
Dog,Private Impound,Deeragun,2020.2,Dog,Private Impound
Dog,Private Impound,Deeragun,2020.2,Dog,Private Impound
Dog,Private Impound,Deeragun,2020.2,Dog,Private Impound
Dog,Wandering,Deeragun,2020.2,Dog,Wandering
Dog,Wandering,Rollingstone,2020.2,Dog,Wandering
Dog,Wandering,Rollingstone,2020.2,Dog,Wandering
Dog,Noise,Shaw,2020.2,Dog,Noise
Dog,Wandering,Shaw,2020.2,Dog,Wandering
Dog,Wandering,Shaw,2020.2,Dog,Wandering
Dog,Noise,Toolakea,2020.2,Dog,Noise
Dog,Noise,Toolakea,2020.2,Dog,Noise
Dog,Enclosure,Yabulu,2020.2,Dog,Enclosure
Dog,Private Impound,Yabulu,2020.2,Dog,Private Impound
Dog,Private Impound,Yabulu,2020.2,Dog,Private Impound
Dog,Wandering,Alligator Creek,2020.2,Dog,Wandering
Dog,Attack,Cluden,2020.2,Dog,Attack
Dog,Wandering,Cluden,2020.2,Dog,Wandering
Dog,Wandering,Cluden,2020.2,Dog,Wandering
Dog,Noise,Idalia,2020.2,Dog,Noise
Dog,Wandering,Idalia,2020.2,Dog,Wandering
Dog,Wandering,Idalia,2020.2,Dog,Wandering
Dog,Private Impound,Murray,2020.2,Dog,Private Impound
Dog,Enclosure,Oonoonba,2020.2,Dog,Enclosure
Dog,Enclosure,Oonoonba,2020.2,Dog,Enclosure
Dog,Noise,Oonoonba,2020.2,Dog,Noise
Dog,Noise,Oonoonba,2020.2,Dog,Noise
Dog,Noise,Oonoonba,2020.2,Dog,Noise
Dog,Noise,Oonoonba,2020.2,Dog,Noise
Dog,Noise,Oonoonba,2020.2,Dog,Noise
Dog,Aggressive Animal,Railway Estate,2020.2,Dog,Aggressive Animal
Dog,Attack,Railway Estate,2020.2,Dog,Attack
Dog,Attack,Railway Estate,2020.2,Dog,Attack
Dog,Attack,Railway Estate,2020.2,Dog,Attack
Dog,Enclosure,Railway Estate,2020.2,Dog,Enclosure
Dog,Enclosure,Railway Estate,2020.2,Dog,Enclosure
Dog,Enclosure,Railway Estate,2020.2,Dog,Enclosure
Dog,Noise,Railway Estate,2020.2,Dog,Noise
Dog,Attack,Reid River,2020.2,Dog,Attack
Dog,Attack,Stuart,2020.2,Dog,Attack
Dog,Wandering,Stuart,2020.2,Dog,Wandering
Dog,Wandering,Stuart,2020.2,Dog,Wandering
Dog,Aggressive Animal,Wulguru,2020.2,Dog,Aggressive Animal
Dog,Aggressive Animal,Wulguru,2020.2,Dog,Aggressive Animal
Dog,Attack,Wulguru,2020.2,Dog,Attack
Dog,Attack,Wulguru,2020.2,Dog,Attack
Dog,Attack,Wulguru,2020.2,Dog,Attack
Dog,Enclosure,Wulguru,2020.2,Dog,Enclosure
Dog,Enclosure,Wulguru,2020.2,Dog,Enclosure
Dog,Enclosure,Wulguru,2020.2,Dog,Enclosure
Dog,Noise,Wulguru,2020.2,Dog,Noise
Dog,Noise,Wulguru,2020.2,Dog,Noise
Dog,Noise,Wulguru,2020.2,Dog,Noise
Cat,Private Impound,Wulguru,2020.2,Cat,Private Impound
Dog,Private Impound,Wulguru,2020.2,Dog,Private Impound
Dog,Private Impound,Wulguru,2020.2,Dog,Private Impound
Dog,Private Impound,Wulguru,2020.2,Dog,Private Impound
Dog,Private Impound,Wulguru,2020.2,Dog,Private Impound
Dog,Private Impound,Wulguru,2020.2,Dog,Private Impound
Dog,Private Impound,Wulguru,2020.2,Dog,Private Impound
Dog,Wandering,Wulguru,2020.2,Dog,Wandering
Dog,Wandering,Wulguru,2020.2,Dog,Wandering
Dog,Attack,Black River,2020.2,Dog,Attack
Dog,Enclosure,Black River,2020.2,Dog,Enclosure
Dog,Noise,Black River,2020.2,Dog,Noise
Dog,Wandering,Black River,2020.2,Dog,Wandering
Dog,Wandering,Black River,2020.2,Dog,Wandering
Dog,Aggressive Animal,Burdell,2020.2,Dog,Aggressive Animal
Dog,Aggressive Animal,Burdell,2020.2,Dog,Aggressive Animal
Dog,Enclosure,Burdell,2020.2,Dog,Enclosure
Dog,Enclosure,Burdell,2020.2,Dog,Enclosure
Dog,Noise,Burdell,2020.2,Dog,Noise
Dog,Noise,Burdell,2020.2,Dog,Noise
Dog,Noise,Burdell,2020.2,Dog,Noise
Dog,Noise,Burdell,2020.2,Dog,Noise
Dog,Noise,Burdell,2020.2,Dog,Noise
Dog,Noise,Burdell,2020.2,Dog,Noise
Dog,Noise,Burdell,2020.2,Dog,Noise
Dog,Noise,Burdell,2020.2,Dog,Noise
Dog,Noise,Burdell,2020.2,Dog,Noise
Dog,Noise,Burdell,2020.2,Dog,Noise
Dog,Noise,Burdell,2020.2,Dog,Noise
Cat,Private Impound,Burdell,2020.2,Cat,Private Impound
Cat,Private Impound,Burdell,2020.2,Cat,Private Impound
Dog,Private Impound,Burdell,2020.2,Dog,Private Impound
Dog,Wandering,Burdell,2020.2,Dog,Wandering
Dog,Wandering,Burdell,2020.2,Dog,Wandering
Dog,Attack,Bushland Beach,2020.2,Dog,Attack
Dog,Attack,Bushland Beach,2020.2,Dog,Attack
Cat,Enclosure,Bushland Beach,2020.2,Cat,Enclosure
Cat,Enclosure,Bushland Beach,2020.2,Cat,Enclosure
Dog,Enclosure,Bushland Beach,2020.2,Dog,Enclosure
Dog,Enclosure,Bushland Beach,2020.2,Dog,Enclosure
Dog,Enclosure,Bushland Beach,2020.2,Dog,Enclosure
Dog,Noise,Bushland Beach,2020.2,Dog,Noise
Dog,Noise,Bushland Beach,2020.2,Dog,Noise
Dog,Noise,Bushland Beach,2020.2,Dog,Noise
Dog,Noise,Bushland Beach,2020.2,Dog,Noise
Dog,Noise,Bushland Beach,2020.2,Dog,Noise
Dog,Noise,Bushland Beach,2020.2,Dog,Noise
Dog,Noise,Bushland Beach,2020.2,Dog,Noise
Dog,Private Impound,Bushland Beach,2020.2,Dog,Private Impound
Dog,Aggressive Animal,Mount Low,2020.2,Dog,Aggressive Animal
Dog,Aggressive Animal,Mount Low,2020.2,Dog,Aggressive Animal
Dog,Aggressive Animal,Mount Low,2020.2,Dog,Aggressive Animal
Dog,Aggressive Animal,Mount Low,2020.2,Dog,Aggressive Animal
Dog,Attack,Mount Low,2020.2,Dog,Attack
Cat,Enclosure,Mount Low,2020.2,Cat,Enclosure
Cat,Enclosure,Mount Low,2020.2,Cat,Enclosure
Cat,Enclosure,Mount Low,2020.2,Cat,Enclosure
Cat,Enclosure,Mount Low,2020.2,Cat,Enclosure
Dog,Enclosure,Mount Low,2020.2,Dog,Enclosure
Dog,Enclosure,Mount Low,2020.2,Dog,Enclosure
Dog,Enclosure,Mount Low,2020.2,Dog,Enclosure
Dog,Enclosure,Mount Low,2020.2,Dog,Enclosure
Dog,Enclosure,Mount Low,2020.2,Dog,Enclosure
Dog,Noise,Mount Low,2020.2,Dog,Noise
Dog,Noise,Mount Low,2020.2,Dog,Noise
Dog,Noise,Mount Low,2020.2,Dog,Noise
Dog,Noise,Mount Low,2020.2,Dog,Noise
Dog,Private Impound,Mount Low,2020.2,Dog,Private Impound
Dog,Private Impound,Mount Low,2020.2,Dog,Private Impound
Dog,Wandering,Mount Low,2020.2,Dog,Wandering
Dog,Wandering,Mount Low,2020.2,Dog,Wandering
Dog,Wandering,Arcadia,2020.2,Dog,Wandering
Dog,Enclosure,Belgian Gardens,2020.2,Dog,Enclosure
Dog,Private Impound,Belgian Gardens,2020.2,Dog,Private Impound
Dog,Private Impound,Belgian Gardens,2020.2,Dog,Private Impound
Dog,Private Impound,Belgian Gardens,2020.2,Dog,Private Impound
Dog,Wandering,Belgian Gardens,2020.2,Dog,Wandering
Dog,Aggressive Animal,Castle Hill,2020.2,Dog,Aggressive Animal
Dog,Aggressive Animal,Garbutt,2020.2,Dog,Aggressive Animal
Dog,Aggressive Animal,Garbutt,2020.2,Dog,Aggressive Animal
Dog,Attack,Garbutt,2020.2,Dog,Attack
Dog,Attack,Garbutt,2020.2,Dog,Attack
Dog,Attack,Garbutt,2020.2,Dog,Attack
Dog,Attack,Garbutt,2020.2,Dog,Attack
Dog,Enclosure,Garbutt,2020.2,Dog,Enclosure
Dog,Noise,Garbutt,2020.2,Dog,Noise
Dog,Noise,Garbutt,2020.2,Dog,Noise
Dog,Noise,Garbutt,2020.2,Dog,Noise
Dog,Noise,Garbutt,2020.2,Dog,Noise
Dog,Wandering,Garbutt,2020.2,Dog,Wandering
Dog,Enclosure,Mount St John,2020.2,Dog,Enclosure
Dog,Wandering,Mount St John,2020.2,Dog,Wandering
Dog,Enclosure,Nelly Bay,2020.2,Dog,Enclosure
Dog,Wandering,Nelly Bay,2020.2,Dog,Wandering
Dog,Aggressive Animal,North Ward,2020.2,Dog,Aggressive Animal
Dog,Enclosure,North Ward,2020.2,Dog,Enclosure
Dog,Noise,North Ward,2020.2,Dog,Noise
Dog,Wandering,North Ward,2020.2,Dog,Wandering
Dog,Wandering,North Ward,2020.2,Dog,Wandering
Dog,Wandering,North Ward,2020.2,Dog,Wandering
Dog,Noise,Pallarenda,2020.2,Dog,Noise
Dog,Noise,Pallarenda,2020.2,Dog,Noise
Dog,Noise,Pallarenda,2020.2,Dog,Noise
Dog,Noise,Pallarenda,2020.2,Dog,Noise
Dog,Wandering,Pallarenda,2020.2,Dog,Wandering
Dog,Aggressive Animal,South Townsville,2020.2,Dog,Aggressive Animal
Dog,Attack,South Townsville,2020.2,Dog,Attack
Dog,Enclosure,South Townsville,2020.2,Dog,Enclosure
Dog,Enclosure,South Townsville,2020.2,Dog,Enclosure
Dog,Noise,South Townsville,2020.2,Dog,Noise
Dog,Wandering,South Townsville,2020.2,Dog,Wandering
Dog,Wandering,South Townsville,2020.2,Dog,Wandering
Dog,Wandering,South Townsville,2020.2,Dog,Wandering
Dog,Noise,Townsville City,2020.2,Dog,Noise
Dog,Noise,Townsville City,2020.2,Dog,Noise
Dog,Noise,Townsville City,2020.2,Dog,Noise
Dog,Aggressive Animal,Condon,2020.2,Dog,Aggressive Animal
Dog,Aggressive Animal,Condon,2020.2,Dog,Aggressive Animal
Dog,Aggressive Animal,Condon,2020.2,Dog,Aggressive Animal
Dog,Aggressive Animal,Condon,2020.2,Dog,Aggressive Animal
Dog,Attack,Condon,2020.2,Dog,Attack
Dog,Enclosure,Condon,2020.2,Dog,Enclosure
Dog,Enclosure,Condon,2020.2,Dog,Enclosure
Dog,Enclosure,Condon,2020.2,Dog,Enclosure
Dog,Enclosure,Condon,2020.2,Dog,Enclosure
Dog,Enclosure,Condon,2020.2,Dog,Enclosure
Dog,Enclosure,Condon,2020.2,Dog,Enclosure
Dog,Enclosure,Condon,2020.2,Dog,Enclosure
Dog,Enclosure,Condon,2020.2,Dog,Enclosure
Dog,Enclosure,Condon,2020.2,Dog,Enclosure
Dog,Enclosure,Condon,2020.2,Dog,Enclosure
Dog,Noise,Condon,2020.2,Dog,Noise
Dog,Noise,Condon,2020.2,Dog,Noise
Cat,Private Impound,Condon,2020.2,Cat,Private Impound
Dog,Private Impound,Condon,2020.2,Dog,Private Impound
Dog,Private Impound,Condon,2020.2,Dog,Private Impound
Dog,Private Impound,Condon,2020.2,Dog,Private Impound
Dog,Wandering,Condon,2020.2,Dog,Wandering
Dog,Aggressive Animal,Kelso,2020.2,Dog,Aggressive Animal
Dog,Aggressive Animal,Kelso,2020.2,Dog,Aggressive Animal
Dog,Aggressive Animal,Kelso,2020.2,Dog,Aggressive Animal
Dog,Aggressive Animal,Kelso,2020.2,Dog,Aggressive Animal
Dog,Aggressive Animal,Kelso,2020.2,Dog,Aggressive Animal
Dog,Attack,Kelso,2020.2,Dog,Attack
Dog,Attack,Kelso,2020.2,Dog,Attack
Dog,Attack,Kelso,2020.2,Dog,Attack
Dog,Attack,Kelso,2020.2,Dog,Attack
Dog,Attack,Kelso,2020.2,Dog,Attack
Dog,Enclosure,Kelso,2020.2,Dog,Enclosure
Dog,Enclosure,Kelso,2020.2,Dog,Enclosure
Dog,Enclosure,Kelso,2020.2,Dog,Enclosure
Dog,Noise,Kelso,2020.2,Dog,Noise
Dog,Noise,Kelso,2020.2,Dog,Noise
Dog,Noise,Kelso,2020.2,Dog,Noise
Dog,Noise,Kelso,2020.2,Dog,Noise
Dog,Noise,Kelso,2020.2,Dog,Noise
Dog,Noise,Kelso,2020.2,Dog,Noise
Dog,Noise,Kelso,2020.2,Dog,Noise
Dog,Noise,Kelso,2020.2,Dog,Noise
Dog,Noise,Kelso,2020.2,Dog,Noise
Dog,Noise,Kelso,2020.2,Dog,Noise
